0000David,508377245
000Bigjo,513979445
007Boba,-1
00aaron00,507119490
00ooiioo00,511685401
0203007620,515892121
02OpTiCk,507553642
03KapitanBomba03,502876118
050899,501924016
07_Borewicz,525090447
0815_Eagle,521312515
0__NOOB__0,-1
0Aissy,552690706
0Brie,-1
0FiZer_ClauZ,537463737
0FrankTheTank0,522197821
0jurk0,518832405
0kay_2016,538466526
0minous,-1
0MoonStruck_55,-1
0wned1992,529153102
101,500854529
10kigones10,527047036
112lenovo,-1
11eryk11,510217988
11Guderian11,526887129
11mark,511935062
11TOXIK11,502622183
123123321321,508094957
12345678qay,-1
123cale,-1
123Romulus,502270125
129_AK_MMP_nestro,515853433
12Sandy,522524691
1312_16,543243905
1500h,-1
1636_Pascal,503480050
16_JIeT_CkuJIJIa_HeT,548946645
16oki16,518783709
174russia_IVAN,549927999
1804bobo,519249067
19751212,-1
1979lb,502670777
19801212,511817137
1980_willy_,540960852
1980bez,501322192
1984roach,509409007
1986132010,-1
19_H4JdUK_50,523930874
19dodik80,507272916
19GeckO83,517474167
19Ruda48,514357115
19Sachsenkrieger53,514251406
19SPIDER76,-1
19YaNkEs86,-1
1_77777,517659566
1_mamai_,536427186
1cuba1,509081039
1gornak1,501677065
1H111Dk_9526qw,506519331
1Jakubko1,539927456
1Kraeuterquark,525471643
1Megatro,-1
1meidling1,509851321
1Memorix1,522672245
1Mustang2,510344147
1raptor2,530204362
1RICYU1,-1
1SkyLine1,-1
1sonmohika,-1
1st_to_Die,544912795
1STARSCREAM,501528067
1stWARRIOR,504446116
1sunduk,513815103
1TITOO,-1
1vano1,525587562
1versus29,505368972
2000ville,504714257
2001atis2001,507067686
2017___,543757030
23Karlos23,505071018
26scorpio,-1
29_B,504187813
2_F4ce,533737588
2gat,536406200
2goXD,503726355
2kaunas2,536253734
2KM5,507611789
2lovec2,500546176
2mad4,512892908
2pac4you,511558341
2Pigmej,502644396
2xmarius,-1
2zwesARIS,530639762
34lucky34,-1
357Promethee,510636223
38re,-1
3adaoy,520841928
3entaa,533284956
3ester1974,503800032
3PzDv,502957365
3SDPZ,523958826
3vio,535185025
3xotix,527656607
3XSEcutor,-1
40_Choro,537340411
41_DORiKAN_41,504750778
4_Justice,526563920
4cSta3R,525859841
4H_FAMINE,540903988
4hunnid,538678312
4nDrzejek,-1
4te_Panzerarmee_Hoth_WH,508284527
5318008,508328209
53515,518938924
5439,531720571
55555_2018,552995367
56crazy90,504440220
5funf5,516293338
5imi,502800440
5pootnik,544720738
5TEELR0N1N,513002368
5th_Survivor,510505140
63jerzy,523304247
666n00b666,-1
666radekk,501593268
69Richter,504166821
6AH3AN,-1
6Stri,-1
6yDeT_He6oLyNo,551419034
71carlangas,501432603
72DD,500299315
73_jaro,-1
74_Gismo,524711760
77600,519727089
777dog_1,522815811
77HeadOFdeath77,501896070
77trezor77,509701971
77u5,541410446
790pawel,500621683
7_jegera,500802814
7batja7,524013674
7Galaktyczny7,507449035
7LUKY7,506207502
7WingedSkullSizedGnome,507655756
83gpawel,500189836
84kiler,509903527
85MarE85,514014698
87624,528921039
89didier,506341925
8Expendaples8,516603052
8FLeGMa7,532222881
8OT_,511122985
953871,504501214
9855_2014,521528773
99xtzzz,537154678
9mmSchmerztablette,519199055
9PM_LosT,514878684
_0_MAUS_0_,544761159
_0z_,503265255
_3BEPb__,538814778
_3BERb_,512378153
_4oD_,522250408
__7__,512104822
___15___,510573557
___777__,-1
______AKI______,547617184
_____JURA_____,538707478
_____music_____,549906706
_____SNIPER____,-1
_____YouOnlyLiveOnce____,547676618
____Anubis___,537579460
____AuGenBlick____,524817128
____Heat,500998376
____Joker____,524380459
____sQubany___,545506225
____ThuG____Life____,528175458
___alsancak___,544178446
___Black_RUF___,509489859
___BudaiMarcell___,523215571
___DARKDRAGON___,503804011
___FoKeR___,-1
___Hedelix___,544892617
___Kenny___,526910956
___Lucky____,523481712
___MadMax__,-1
___MV___,510738146
___Pedja___,-1
___Sword___,543924408
___troll_mode___,527585683
___unLucky___,546828058
___Vader___,530965950
___Warri0r___,503837691
__ADHD__,503206080
__ALSANCAK__,-1
__ANGRY__,-1
__Anomander__,501897762
__armatura__,544286571
__Athos,541954002
__B_A_R_I_S__,-1
__Babayaro__,533321211
__biggestnoobever__,-1
__Bratisch__,535348611
__debug__,549162331
__DER_MEISTER__,503905271
__Diamantis__gr,532408559
__Dream_boy__,519010051
__Eat_my_Heat__,508168004
__EXEN__,535486219
__Fuchs__,546211506
__FwSteiner__,-1
__GACAL_BEY__,548813340
__Garvatron__,551857044
__gogus__,-1
__GOLDMARIE__,-1
__H_U_L_K___,532825015
__HEAT,528256218
__iCeCuBe__,527560968
__Kazo,-1
__King_of_Noobs_007__,505047651
__KnockOut__,503335330
__Komap__,501794711
__Kronos_,528814932
__Lecter__shows__how__,-1
__LocKDowN_,539857052
__MaxDark__,538731714
__MetalHurIant__,505002778
__MetalHurlant__,505104097
__N3M3S1S__,-1
__OP__,543153929
__Ovidiu__,500149120
__PANISHER__,-1
__PAPESZ__,531701610
__Peace__,531262008
__Rampage,527506165
__raszej__,-1
__RecoN__,512839080
__RJ_16__,538260090
__SilverSurfer__,513964746
__SinnerMa,-1
__Skilla_Nie_Kupisz__,-1
__Smoker,-1
__st3ffen__,-1
